ID,Torvdybde,X,Y,F5,Name,time,ele
98.000000,3.420000,555150.926432,7030794.125066,,,,
99.000000,3.420000,555077.900859,7030728.898646,,,,
100.000000,2.780000,555002.047471,7030653.595406,,,,
101.000000,2.210000,554967.075388,7030603.847841,,,,
102.000000,2.230000,555037.679823,7030557.363092,,,,
103.000000,1.650000,555133.404693,7030648.165759,,,,
104.000000,0.000000,555157.155516,7030679.110648,piggtråd-gjerde,,,
105.000000,1.000000,555249.633900,7030679.702672,lagg,,,
106.000000,2.390000,555380.824905,7030683.864527,,,,
107.000000,2.600000,555442.879083,7030629.328139,,,,
108.000000,2.000000,555517.610598,7030512.381052,,,,
109.000000,0.990000,555541.113906,7030479.689818,i bratteste partiet,,,
110.000000,1.570000,555557.628042,7030391.935362,,,,
111.000000,1.400000,555620.046904,7030391.681994,,,,
112.000000,1.550000,555664.132590,7030425.547316,,,,
113.000000,0.800000,555695.033446,7030493.397282,,,,
114.000000,1.820000,555786.565971,7030548.596069,trådstarr,,,
115.000000,2.450000,555833.533583,7030591.763948,trådstarr,,,
116.000000,2.000000,555851.385860,7030631.081023,"2.00 m ++, i kanten",,,
117.000000,3.550000,555911.622401,7030686.852024,,,,
118.000000,3.650000,555959.666251,7030696.830120,,,,
119.000000,3.330000,555920.212315,7030821.515826,,,,
120.000000,2.850000,555892.795338,7030900.831294,,,,
121.000000,3.110000,555890.905953,7030974.686128,takrørbelte,,,
122.000000,3.420000,555890.638704,7030975.684463,takrørbelte,,,
123.000000,4.700000,555856.467548,7031190.176119,AL20170214,,,
124.000000,4.000000,555578.014765,7031148.774046,AL20170214,,,
125.000000,1.900000,555391.797275,7031126.711197,AL20170214,,,
126.000000,3.000000,555370.127629,7031114.411639,AL20170214,,,
127.000000,3.800000,555120.193479,7031075.772115,AL20170214,,,
128.000000,2.200000,555553.057489,7030920.102457,AL20170214,,,
129.000000,4.500000,555776.068560,7031027.624828,AL20170214,,,
,5.380000,555135.101753,7031036.912039,,"54",2022-05-23,47.20
,3.170000,555140.394006,7031025.524475,,"55",2022-05-23,97.30
,3.720000,555152.527052,7031011.468701,,"56",2022-05-23,44.40
,3.790000,555164.644825,7030995.406713,,"57",2022-05-23,45.70
,2.830000,555204.245048,7031008.125540,,"58",2022-05-23,45.30
,3.370000,555192.351873,7031025.640029,,"59",2022-05-23,45.70
,2.720000,555194.267124,7031027.567612,,"60",2022-05-23,45.70
,1.620000,555196.134361,7031026.485375,,"61",2022-05-23,97.00
,3.900000,555162.879275,7030976.096442,,"62",2022-05-25,79.10
,2.460000,555187.034609,7030948.651854,,"63",2022-05-25,80.20
,2.380000,555197.608225,7030935.238016,,"64",2022-05-25,78.90
,1.870000,555202.191941,7030930.190645,,"65",2022-05-25,77.20
,2.940000,555211.153809,7030926.221805,,"66",2022-05-25,78.60
,3.560000,555239.355707,7030901.744957,,"67",2022-05-25,79.70
,3.340000,555261.809997,7030880.289537,,"68",2022-05-25,79.80
,3.600000,555287.644172,7030848.305453,,"69",2022-05-25,78.60
,3.590000,555315.017672,7030816.905393,,"70",2022-05-25,79.90
,1.720000,555341.001618,7030767.650450,,"71",2022-05-25,80.30
,0.550000,555355.691693,7030753.193849,,"72",2022-05-25,78.60
,0.610000,555394.260335,7030770.800681,,"73",2022-05-25,76.80
,2.130000,555405.239205,7030809.104670,,"74",2022-05-25,76.90
,2.940000,555388.376719,7030848.041193,,"75",2022-05-25,75.90
