Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Skjetlein;SN67140;04.05.2020;3,8;6,5;2,2;5,8;-
Skjetlein;SN67140;05.05.2020;5,6;8,5;0,3;1,8;-
Skjetlein;SN67140;06.05.2020;5,5;8,3;4,1;3,2;-
Skjetlein;SN67140;07.05.2020;5,4;8,7;2,7;5;-
Skjetlein;SN67140;08.05.2020;4,9;6,9;3,8;1;-
Skjetlein;SN67140;09.05.2020;4,5;7,8;1,3;1,2;-
Skjetlein;SN67140;10.05.2020;1,5;5,8;-0,5;0,8;-
Skjetlein;SN67140;11.05.2020;0,6;3,4;-1,4;0,8;-
Skjetlein;SN67140;12.05.2020;1,3;4,9;-0,5;11,6;-
Skjetlein;SN67140;13.05.2020;1;4,2;-1;6,8;-
Skjetlein;SN67140;14.05.2020;1,4;4,1;-0,4;10,2;-
Skjetlein;SN67140;15.05.2020;1,8;5,3;0,1;4,8;-
Skjetlein;SN67140;16.05.2020;3,6;5,7;0,3;3;-
Skjetlein;SN67140;17.05.2020;5;7;3,5;0;-
Skjetlein;SN67140;18.05.2020;3,9;6,9;1,4;4,6;-
Skjetlein;SN67140;19.05.2020;4,4;8;2,3;5,4;-
Skjetlein;SN67140;20.05.2020;6,8;11,8;0,1;0,6;-
Skjetlein;SN67140;21.05.2020;9,1;16;-0,6;0;-
Skjetlein;SN67140;22.05.2020;13;17,7;4,4;0;-
Skjetlein;SN67140;23.05.2020;13,8;17,9;11,2;0;-
Skjetlein;SN67140;24.05.2020;12,9;17,1;9,5;0;-
Skjetlein;SN67140;25.05.2020;10,9;16,2;8,4;0;-
Skjetlein;SN67140;26.05.2020;10,6;15,6;6;0;-
Skjetlein;SN67140;27.05.2020;8,4;11,5;4,1;1,6;-
Skjetlein;SN67140;28.05.2020;8,2;10,2;5,9;3,2;-
Skjetlein;SN67140;29.05.2020;10,9;16,2;6,4;0;-
Skjetlein;SN67140;30.05.2020;14,9;20,5;7,6;0;-
Skjetlein;SN67140;31.05.2020;16,7;24,4;8,2;0;-
Skjetlein;SN67140;01.06.2020;15,8;23;9,4;0;-
Skjetlein;SN67140;02.06.2020;13,4;19,4;8,5;0;-
Skjetlein;SN67140;03.06.2020;10,5;12,6;8,9;0;-
Skjetlein;SN67140;04.06.2020;16,2;21,2;9,6;7,8;-
Skjetlein;SN67140;05.06.2020;17,1;22,3;9,2;0;-
Skjetlein;SN67140;06.06.2020;14,5;19,5;12,6;0;-
Skjetlein;SN67140;07.06.2020;9;15,1;7,3;7;-
Skjetlein;SN67140;08.06.2020;7,8;10,3;6,1;1;-
Skjetlein;SN67140;09.06.2020;11,2;15,8;5,9;0,8;-
Skjetlein;SN67140;10.06.2020;14,2;22;8;0;-
Skjetlein;SN67140;11.06.2020;14,2;21,2;7,8;0;-
Skjetlein;SN67140;12.06.2020;16,3;23,5;6,9;0;-
Skjetlein;SN67140;13.06.2020;20,4;25,6;14,6;0;-
Skjetlein;SN67140;14.06.2020;18,7;26,3;10,6;0;-
Skjetlein;SN67140;15.06.2020;16,7;21,3;14,1;0;-
Skjetlein;SN67140;16.06.2020;18,6;24,4;11,9;0;-
Skjetlein;SN67140;17.06.2020;20,2;27,5;13,5;0;-
Skjetlein;SN67140;18.06.2020;17,8;24,1;12,8;0;-
Skjetlein;SN67140;19.06.2020;18,2;25,7;10,2;0;-
Skjetlein;SN67140;20.06.2020;24;30,2;12,9;0;-
Skjetlein;SN67140;21.06.2020;23,7;29,4;16,9;0;-
Skjetlein;SN67140;22.06.2020;17,8;27;16,8;0;-
Skjetlein;SN67140;23.06.2020;17,5;23,4;12;0;-
Skjetlein;SN67140;24.06.2020;18,6;25,9;10,8;0;-
Skjetlein;SN67140;25.06.2020;18,9;23,7;14;0;-
Skjetlein;SN67140;26.06.2020;20,8;28,6;13,4;0;-
Skjetlein;SN67140;27.06.2020;22,9;30,6;15;0;-
Skjetlein;SN67140;28.06.2020;22;28,4;17,1;0;-
Skjetlein;SN67140;29.06.2020;16,1;20,7;15,7;9,6;-
Skjetlein;SN67140;30.06.2020;11,3;17,8;10,1;0,6;-
Skjetlein;SN67140;01.07.2020;9;11,9;5,1;1,4;-
Skjetlein;SN67140;02.07.2020;10,4;15;5,6;1,2;-
Skjetlein;SN67140;03.07.2020;9,3;14,6;7;0;-
Skjetlein;SN67140;04.07.2020;11,7;16,5;7,1;4,8;-
Skjetlein;SN67140;05.07.2020;13,7;20,6;6,7;0;-
Skjetlein;SN67140;06.07.2020;11;13,4;10;7;-
Skjetlein;SN67140;07.07.2020;10,6;13,7;9;9,4;-
Skjetlein;SN67140;08.07.2020;10,5;13,8;8;3,2;-
Skjetlein;SN67140;09.07.2020;11,3;14,2;9,2;1;-
Skjetlein;SN67140;10.07.2020;12,2;17;8;6;-
Skjetlein;SN67140;11.07.2020;11,5;14,7;8,6;4,2;-
Skjetlein;SN67140;12.07.2020;10,2;13,2;8,6;0,4;-
Skjetlein;SN67140;13.07.2020;12,5;16,9;8,4;5,6;-
Skjetlein;SN67140;14.07.2020;14,4;20,5;10,3;0;-
Skjetlein;SN67140;15.07.2020;16,4;23,3;10,1;0;-
Skjetlein;SN67140;16.07.2020;16,4;22,7;11,3;0,8;-
Skjetlein;SN67140;17.07.2020;13,9;18,4;12,6;0,6;-
Skjetlein;SN67140;18.07.2020;15,1;19,8;11,4;5,8;-
Skjetlein;SN67140;19.07.2020;14,4;19,1;11,6;8,8;-
Skjetlein;SN67140;20.07.2020;12;15,2;10,8;7;-
Skjetlein;SN67140;21.07.2020;10,7;13,5;9;0,4;-
Skjetlein;SN67140;22.07.2020;9,8;12,4;8;6,4;-
Skjetlein;SN67140;23.07.2020;10,5;13,5;8,7;7,6;-
Skjetlein;SN67140;24.07.2020;9,9;11,8;8,7;4,8;-
Skjetlein;SN67140;25.07.2020;11,4;15,9;9,1;14,4;-
Skjetlein;SN67140;26.07.2020;15,6;22,2;6,8;0,2;-
Skjetlein;SN67140;27.07.2020;16,7;20,8;12,3;5,2;-
Skjetlein;SN67140;28.07.2020;18,1;21,5;13,7;11,6;-
Skjetlein;SN67140;29.07.2020;17,8;23,2;15,1;0,2;-
Skjetlein;SN67140;30.07.2020;14,7;18,9;12,6;0;-
Skjetlein;SN67140;31.07.2020;15,7;19,7;12,4;0;-
Skjetlein;SN67140;01.08.2020;16,7;23,1;10,7;0;-
Skjetlein;SN67140;02.08.2020;16,3;21,4;12,2;0;-
Skjetlein;SN67140;03.08.2020;11,8;17,6;11,3;18,4;-
Skjetlein;SN67140;04.08.2020;12,5;16,8;10,4;6,4;-
Skjetlein;SN67140;05.08.2020;14,4;18,9;8,7;0,6;-
Skjetlein;SN67140;06.08.2020;16,3;20,5;13,8;0,4;-
Skjetlein;SN67140;07.08.2020;18,2;24,7;13,3;0;-
Skjetlein;SN67140;08.08.2020;15,8;24,5;13,3;0;-
Skjetlein;SN67140;09.08.2020;13,4;17,7;9,4;4;-
Skjetlein;SN67140;10.08.2020;14,1;21;6,5;0;-
Skjetlein;SN67140;11.08.2020;15,1;22,4;8,8;0,2;-
Skjetlein;SN67140;12.08.2020;15;21;10,3;0;-
Skjetlein;SN67140;13.08.2020;14,9;18,9;10,2;0;-
Skjetlein;SN67140;15.08.2020;14,6;18,7;10,2;0,2;-
Skjetlein;SN67140;16.08.2020;15,1;18,9;13,6;0;-
Skjetlein;SN67140;17.08.2020;13,8;19,3;8,7;0;-
Skjetlein;SN67140;18.08.2020;16;21,9;9;0,2;-
Skjetlein;SN67140;19.08.2020;17,2;23,2;13,3;2,4;-
Skjetlein;SN67140;20.08.2020;16,9;21,7;13,6;7,4;-
Skjetlein;SN67140;21.08.2020;20,3;26,4;13,2;0;-
Skjetlein;SN67140;22.08.2020;18,8;21,9;16,6;0;-
Skjetlein;SN67140;23.08.2020;11;17,2;9,6;8,6;-
Skjetlein;SN67140;24.08.2020;9,2;12,9;6,3;2,8;-
Skjetlein;SN67140;25.08.2020;10,3;12,1;8,4;0;-
Skjetlein;SN67140;26.08.2020;11,1;15,2;8,9;0,2;-
Skjetlein;SN67140;27.08.2020;10,6;16,7;7,8;0,2;-
Skjetlein;SN67140;28.08.2020;9,7;17,3;3,6;0;-
Skjetlein;SN67140;29.08.2020;11,5;15,7;8,3;0;-
Skjetlein;SN67140;30.08.2020;9,2;13,1;7,9;7;-
Skjetlein;SN67140;31.08.2020;8,1;14,4;3,1;2;-
Skjetlein;SN67140;01.09.2020;9,8;17,3;3;0;-
Skjetlein;SN67140;02.09.2020;13,4;22,1;5,8;0;-
Skjetlein;SN67140;03.09.2020;16,6;21,3;11,8;0,2;-
Skjetlein;SN67140;04.09.2020;13,4;17,5;11,4;1;-
Skjetlein;SN67140;22.09.2020;8,4;10,7;7;-;-
Skjetlein;SN67140;23.09.2020;9,2;15,8;6,6;2;-
Skjetlein;SN67140;24.09.2020;10,3;18,6;4,9;7,2;-
Skjetlein;SN67140;25.09.2020;8,3;14,9;6;0,8;-
Skjetlein;SN67140;26.09.2020;6,9;8,1;6,1;1,6;-
Skjetlein;SN67140;27.09.2020;11,8;18,5;6;0,2;-
Skjetlein;SN67140;28.09.2020;13,7;19;9,3;0;-
Skjetlein;SN67140;29.09.2020;12,1;17,5;8,7;0;-
Skjetlein;SN67140;30.09.2020;14,1;19,1;8,5;0,2;-
Skjetlein;SN67140;01.10.2020;14,9;18,4;10,7;0;-
Skjetlein;SN67140;02.10.2020;13,7;15,9;12,6;0;-
Skjetlein;SN67140;03.10.2020;13,5;15,8;10;0;-
Skjetlein;SN67140;04.10.2020;15,1;16,7;12;0;-
Skjetlein;SN67140;05.10.2020;13,1;16,2;12,3;1;-
Skjetlein;SN67140;06.10.2020;12,1;16,8;7,2;0,8;-
Skjetlein;SN67140;07.10.2020;10,4;12,5;8,7;0,6;-
Skjetlein;SN67140;08.10.2020;8,4;11,4;6,1;5;-
Skjetlein;SN67140;09.10.2020;8,4;10,3;7,4;6,4;-
Skjetlein;SN67140;10.10.2020;7,8;9,3;7;1,4;-
Skjetlein;SN67140;11.10.2020;8,5;10,5;7,2;0;-
Skjetlein;SN67140;12.10.2020;7,4;9,8;6,9;7,6;-
Skjetlein;SN67140;13.10.2020;5,9;8,5;2,6;3,6;-
Skjetlein;SN67140;14.10.2020;6;7,8;4,2;0,4;-
Skjetlein;SN67140;15.10.2020;6,7;9;5,1;0,2;-
Skjetlein;SN67140;16.10.2020;7,2;8,8;5,9;5,8;-
Skjetlein;SN67140;17.10.2020;5,9;7,5;4,5;2,8;-
Skjetlein;SN67140;18.10.2020;3,6;5,9;2,5;11;-
Skjetlein;SN67140;19.10.2020;2;5;0,4;11,4;-
Skjetlein;SN67140;20.10.2020;1,6;4;-2,6;3,6;-
Skjetlein;SN67140;21.10.2020;2,2;3,6;1,1;0,6;-
Skjetlein;SN67140;22.10.2020;1,4;3,2;-0,4;0,8;-
Skjetlein;SN67140;23.10.2020;-0,3;4,2;-2,1;1;-
Skjetlein;SN67140;24.10.2020;-1;2,8;-4,1;0,2;-
Skjetlein;SN67140;25.10.2020;8,2;13,4;-0,7;0,4;-
Skjetlein;SN67140;26.10.2020;5,1;11,4;1,7;5;-
Skjetlein;SN67140;27.10.2020;2,9;8,5;0,4;0;-
Skjetlein;SN67140;28.10.2020;3,2;9,5;-0,7;0;-
Skjetlein;SN67140;29.10.2020;3,7;7,1;1,1;0,8;-
Skjetlein;SN67140;30.10.2020;4,8;9,4;-0,8;2,2;-
Skjetlein;SN67140;31.10.2020;6,8;9,5;2,3;2,2;-
Skjetlein;SN67140;01.11.2020;11,7;13,7;7,9;0,2;-
Skjetlein;SN67140;02.11.2020;10,7;14,6;9,4;0;-
Skjetlein;SN67140;03.11.2020;4,7;9,6;2,5;2,2;-
Skjetlein;SN67140;04.11.2020;5,1;6,4;2,2;0;-
Skjetlein;SN67140;05.11.2020;9,7;11;5,2;1,4;-
Skjetlein;SN67140;06.11.2020;10,6;12,4;8,7;2,2;-
Skjetlein;SN67140;07.11.2020;6,6;10,6;5,7;0,2;-
Skjetlein;SN67140;08.11.2020;4,7;5,7;3,8;3,8;-
Skjetlein;SN67140;09.11.2020;4,8;5,4;4;1;-
Skjetlein;SN67140;10.11.2020;4,4;5,9;4;1;-
Skjetlein;SN67140;11.11.2020;2;4,8;0,4;1;-
Skjetlein;SN67140;12.11.2020;6,6;9,1;0,7;0,2;-
Skjetlein;SN67140;13.11.2020;7,5;8,9;4,3;0;-
Skjetlein;SN67140;14.11.2020;6,8;9,2;2,5;0;-
Skjetlein;SN67140;15.11.2020;10,1;11,8;4;0;-
Skjetlein;SN67140;16.11.2020;11,9;13,9;9,3;0;-
Skjetlein;SN67140;17.11.2020;7,4;10,5;3,3;0;-
Skjetlein;SN67140;18.11.2020;3,2;6,9;0,4;2,4;-
Skjetlein;SN67140;19.11.2020;-0,6;2;-3,3;10,6;-
Skjetlein;SN67140;20.11.2020;1;2,5;-0,4;2;-
Skjetlein;SN67140;02.12.2020;1,4;4,6;-1,4;0,5;-
Skjetlein;SN67140;03.12.2020;4,5;5,8;2;1,6;-
Skjetlein;SN67140;04.12.2020;3,1;4,6;2,2;0;-
Skjetlein;SN67140;05.12.2020;-0,5;4;-2,5;0;-
Skjetlein;SN67140;06.12.2020;-1,3;0,7;-3,9;0;-
Skjetlein;SN67140;07.12.2020;1,9;6,4;-2,2;0;-
Skjetlein;SN67140;08.12.2020;5,4;7;2;0,6;-
Skjetlein;SN67140;09.12.2020;3,5;6;1,5;0;-
Skjetlein;SN67140;10.12.2020;3,5;5,3;-0,7;0;-
Skjetlein;SN67140;11.12.2020;2,7;4,8;1,8;0;-
Skjetlein;SN67140;12.12.2020;0,5;3,4;-1;0;-
Skjetlein;SN67140;13.12.2020;-4,3;-0,4;-5,7;0;-
Skjetlein;SN67140;14.12.2020;3,4;5,3;-5,5;0;-
Skjetlein;SN67140;15.12.2020;2,7;5,1;0,2;0;-
Skjetlein;SN67140;16.12.2020;2,1;3,4;0,7;0,2;-
Skjetlein;SN67140;17.12.2020;3,2;7,2;-1,8;0,8;-
Skjetlein;SN67140;18.12.2020;0,9;6,7;-0,8;0;-
Skjetlein;SN67140;19.12.2020;4,8;9,2;-0,7;0,2;-
Skjetlein;SN67140;20.12.2020;8,3;9,6;6,7;0,4;-
Skjetlein;SN67140;21.12.2020;5,9;8,4;4;0;-
Skjetlein;SN67140;22.12.2020;4,3;6,7;0,9;0;-
Skjetlein;SN67140;23.12.2020;2,7;4,1;0,8;5,2;-
Skjetlein;SN67140;24.12.2020;0,7;2,6;0;14;-
Skjetlein;SN67140;25.12.2020;-1,7;1,6;-3,8;3,4;-
Skjetlein;SN67140;26.12.2020;-0,2;0,2;-3,1;0;-
Skjetlein;SN67140;27.12.2020;5,3;6,6;-2,5;4,2;-
Skjetlein;SN67140;28.12.2020;4,6;5,9;3,5;9;-
Skjetlein;SN67140;29.12.2020;4,3;5,5;2,9;0;-
Skjetlein;SN67140;30.12.2020;2,3;5,1;1,6;0;-
Skjetlein;SN67140;31.12.2020;-3,2;1,6;-4,7;0;-
Skjetlein;SN67140;01.01.2021;-7,8;-4,6;-10;-;-
Skjetlein;SN67140;02.01.2021;-3,7;1,3;-7,3;-;-
Skjetlein;SN67140;03.01.2021;-10,4;-4,6;-11,4;-;-
Skjetlein;SN67140;04.01.2021;-11,7;-9,6;-12,8;-;-
Skjetlein;SN67140;05.01.2021;-6,9;-4,9;-12,2;-;-
Skjetlein;SN67140;06.01.2021;-10,1;-5,9;-12,4;-;-
Skjetlein;SN67140;07.01.2021;-11;-8,7;-12,5;-;-
Skjetlein;SN67140;08.01.2021;-10,7;-7,2;-13,1;-;-
Skjetlein;SN67140;09.01.2021;-5,9;1,2;-11,5;-;-
Skjetlein;SN67140;10.01.2021;-3,6;0,8;-6;-;-
Skjetlein;SN67140;11.01.2021;-7,7;-5,7;-9,1;-;-
Skjetlein;SN67140;12.01.2021;-4,8;-2,4;-12,2;-;-
Skjetlein;SN67140;13.01.2021;-11,9;-1,8;-16,7;-;-
Skjetlein;SN67140;14.01.2021;-18,2;-15,2;-19,9;-;-
Skjetlein;SN67140;15.01.2021;-14,4;-10,1;-19,4;-;-
Skjetlein;SN67140;16.01.2021;-8;-4,4;-10,1;-;-
Skjetlein;SN67140;17.01.2021;-11,4;-8,3;-15;-;-
Skjetlein;SN67140;18.01.2021;-8,9;-6,1;-11;-;-
Skjetlein;SN67140;19.01.2021;-6,7;1,1;-13,4;-;-
Skjetlein;SN67140;20.01.2021;0,2;1,5;-5,8;-;-
Skjetlein;SN67140;21.01.2021;2,7;4,8;-0,6;-;-
Skjetlein;SN67140;22.01.2021;4,9;6,1;3,3;-;-
Skjetlein;SN67140;23.01.2021;0,2;4,7;-1,5;-;-
Skjetlein;SN67140;24.01.2021;-0,3;3,6;-3,7;-;-
Skjetlein;SN67140;25.01.2021;-8,6;-1,6;-10,7;-;-
Skjetlein;SN67140;26.01.2021;-6,4;-2,1;-10,8;-;-
Skjetlein;SN67140;27.01.2021;-7;-4,8;-11,3;-;-
Skjetlein;SN67140;28.01.2021;-8;-4,1;-11,9;-;-
Skjetlein;SN67140;29.01.2021;-4,8;-3,1;-8,3;-;-
Skjetlein;SN67140;30.01.2021;-4,3;-3;-6,2;-;-
Skjetlein;SN67140;31.01.2021;-4,5;-2;-5,8;-;-
Skjetlein;SN67140;01.02.2021;-10,3;-4,5;-12,7;-;-
Skjetlein;SN67140;02.02.2021;-18,2;-11,2;-20,4;-;-
Skjetlein;SN67140;03.02.2021;-17,8;-11,1;-22;-;-
Skjetlein;SN67140;04.02.2021;-18,7;-12,3;-21,9;-;-
Skjetlein;SN67140;05.02.2021;-17,1;-13,1;-22,4;-;-
Skjetlein;SN67140;06.02.2021;-14,8;-11;-19,1;-;-
Skjetlein;SN67140;07.02.2021;-12,6;-9,7;-14,7;-;-
Skjetlein;SN67140;08.02.2021;-13,1;-8,2;-15,4;-;-
Skjetlein;SN67140;09.02.2021;-13,3;-8;-20,2;-;-
Skjetlein;SN67140;10.02.2021;-9,4;-5,2;-11,4;-;-
Skjetlein;SN67140;11.02.2021;-18,8;-10;-23,6;-;-
Skjetlein;SN67140;12.02.2021;-14,1;-9,2;-19;-;-
Skjetlein;SN67140;13.02.2021;-3,5;1;-15,8;-;-
Skjetlein;SN67140;14.02.2021;-4,1;1,1;-7,7;-;-
Skjetlein;SN67140;15.02.2021;-5,2;-0,2;-9,9;-;-
Skjetlein;SN67140;16.02.2021;-2,1;1,1;-5,5;-;-
Skjetlein;SN67140;17.02.2021;0;0,9;-1,1;-;-
Skjetlein;SN67140;18.02.2021;1,6;4,5;-3,2;-;-
Skjetlein;SN67140;19.02.2021;2,8;7,6;0,3;-;-
Skjetlein;SN67140;20.02.2021;2,4;4,7;-1;-;-
Skjetlein;SN67140;21.02.2021;6;12,9;1,5;-;-
Skjetlein;SN67140;22.02.2021;0,3;3,3;-2;-;-
Skjetlein;SN67140;23.02.2021;4,5;8,5;0,7;-;-
Skjetlein;SN67140;24.02.2021;6,9;11;5,2;-;-
Skjetlein;SN67140;25.02.2021;3,1;6,2;1,6;-;-
Skjetlein;SN67140;26.02.2021;3,8;5,6;1,6;-;-
Skjetlein;SN67140;27.02.2021;5,3;8;2,1;-;-
Skjetlein;SN67140;28.02.2021;6,6;9,3;2,7;-;-
Skjetlein;SN67140;01.03.2021;4,2;5,9;2,7;-;-
Skjetlein;SN67140;02.03.2021;3,3;5,9;0,1;-;-
Skjetlein;SN67140;03.03.2021;1,8;5,4;-1,1;-;-
Skjetlein;SN67140;04.03.2021;-1,2;0,7;-3,4;-;-
Skjetlein;SN67140;05.03.2021;0,1;2,1;-2,7;-;-
Skjetlein;SN67140;06.03.2021;0,9;3,8;-2,2;-;-
Skjetlein;SN67140;07.03.2021;-2,4;1,8;-5,6;-;-
Skjetlein;SN67140;08.03.2021;-3;1,2;-8;-;-
Skjetlein;SN67140;09.03.2021;1;3,7;-0,4;-;-
Skjetlein;SN67140;10.03.2021;-0,6;1,3;-2;-;-
Skjetlein;SN67140;11.03.2021;2,3;3,6;-0,9;-;-
Skjetlein;SN67140;12.03.2021;3,1;8,2;0;-;-
Skjetlein;SN67140;13.03.2021;1;7,9;-2,3;-;-
Skjetlein;SN67140;14.03.2021;-1,6;7,2;-7,7;-;-
Skjetlein;SN67140;15.03.2021;1,3;4,8;-1;-;-
Skjetlein;SN67140;16.03.2021;0,6;3,3;-2,2;-;-
Skjetlein;SN67140;20.03.2021;4,6;6,8;2,8;-;-
Skjetlein;SN67140;21.03.2021;0,5;3,1;-1,1;-;-
Skjetlein;SN67140;22.03.2021;4,6;7,2;1,1;-;-
Skjetlein;SN67140;23.03.2021;6,2;11,7;3,2;-;-
Skjetlein;SN67140;24.03.2021;4,6;8,9;1,6;-;-
Skjetlein;SN67140;25.03.2021;3,3;9;-0,6;-;-
Skjetlein;SN67140;26.03.2021;5,4;9,6;-1,1;-;-
Skjetlein;SN67140;27.03.2021;4,3;9;2,6;-;-
Skjetlein;SN67140;28.03.2021;4,3;10,9;-1,8;-;-
Skjetlein;SN67140;29.03.2021;6,5;13,1;1,4;-;-
Skjetlein;SN67140;30.03.2021;4,9;7,8;1,9;-;-
Skjetlein;SN67140;31.03.2021;3,2;5,7;0,8;-;-
Skjetlein;SN67140;01.04.2021;3;4,6;1,3;2,6;-
Skjetlein;SN67140;02.04.2021;2,2;4,4;0,8;4,6;-
Skjetlein;SN67140;03.04.2021;4,1;6,2;0,2;4,4;-
Skjetlein;SN67140;04.04.2021;4,4;9,3;-0,6;0,2;-
Skjetlein;SN67140;05.04.2021;0,5;3,6;-3,1;1;-
Skjetlein;SN67140;06.04.2021;2,1;5,1;0,2;9,2;-
Skjetlein;SN67140;07.04.2021;0;3,5;-1,5;14,6;-
Skjetlein;SN67140;08.04.2021;0,7;4,3;-3,4;2,8;-
Skjetlein;SN67140;09.04.2021;0,6;3,1;-0,9;5;-
Skjetlein;SN67140;10.04.2021;0,6;2,2;-1,3;1,8;-
Skjetlein;SN67140;11.04.2021;2;8;-1,8;4,2;-
Skjetlein;SN67140;12.04.2021;1,1;4,9;-4,1;3,4;-
Skjetlein;SN67140;13.04.2021;1;3,4;-0,3;0;-
Skjetlein;SN67140;14.04.2021;2,2;5,4;-0,4;1,6;-
Skjetlein;SN67140;15.04.2021;3,7;8,9;-1,7;4,4;-
Skjetlein;SN67140;16.04.2021;6,1;12,3;1,5;0;-
Skjetlein;SN67140;27.04.2021;2,9;7,2;-0,5;0;-
Skjetlein;SN67140;28.04.2021;2,5;7,3;-1,8;0,4;-
Skjetlein;SN67140;29.04.2021;2,7;8;-1,4;0,6;-
Skjetlein;SN67140;30.04.2021;2,6;7,1;-0,6;0,2;-
Skjetlein;SN67140;01.05.2021;3,6;7,8;0,5;1,4;-
Skjetlein;SN67140;02.05.2021;3,4;8;-1,8;0;-
Skjetlein;SN67140;03.05.2021;4;7,8;-1;0;-
Skjetlein;SN67140;04.05.2021;4,5;9,7;-1;0;-
Skjetlein;SN67140;05.05.2021;6,5;9,8;3,2;0,2;-
Skjetlein;SN67140;06.05.2021;3,9;8,4;-1,3;0;-
Skjetlein;SN67140;07.05.2021;3,3;9,1;-2,9;0;-
Skjetlein;SN67140;08.05.2021;3,2;8,7;-1,9;0;-
Skjetlein;SN67140;09.05.2021;5,8;11,9;-1,6;4,6;-
Skjetlein;SN67140;10.05.2021;10,6;16,7;4,5;2;-
Skjetlein;SN67140;11.05.2021;14,8;19,8;9,1;1,4;-
Skjetlein;SN67140;12.05.2021;8,2;17,8;4,5;0;-
Skjetlein;SN67140;13.05.2021;7,5;8,5;6,5;9;-
Skjetlein;SN67140;14.05.2021;9,9;14,3;6,6;0,8;-
Skjetlein;SN67140;15.05.2021;12,7;17,7;8,1;0,6;-
Skjetlein;SN67140;16.05.2021;11,7;15,7;8,5;0;-
Skjetlein;SN67140;17.05.2021;9,9;13,6;6,4;0;-
Skjetlein;SN67140;18.05.2021;9,2;12,8;6,2;14;-
Skjetlein;SN67140;19.05.2021;9,4;12,7;7,4;3,4;-
Skjetlein;SN67140;20.05.2021;7,7;11,3;6,2;1,6;-
Skjetlein;SN67140;21.05.2021;8,6;13,4;4,8;6;-
Skjetlein;SN67140;22.05.2021;10,1;17,1;3,8;0;-
Skjetlein;SN67140;23.05.2021;12,3;18,5;7;0;-
Skjetlein;SN67140;24.05.2021;13,5;19,4;6,5;2,4;-
Skjetlein;SN67140;25.05.2021;14,8;19,6;8,9;0;-
Skjetlein;SN67140;26.05.2021;14,6;19;8,8;0;-
Skjetlein;SN67140;27.05.2021;13,4;18;11,3;0,2;-
Skjetlein;SN67140;28.05.2021;9,3;15,7;4,7;0;-
Skjetlein;SN67140;29.05.2021;11,6;17;5,6;0;-
Skjetlein;SN67140;30.05.2021;12,8;19,8;5,8;0;-
Skjetlein;SN67140;31.05.2021;12;17,7;7,3;0;-
Skjetlein;SN67140;01.06.2021;15,7;25,1;6,9;0,6;-
Skjetlein;SN67140;02.06.2021;18,8;26,5;11,4;0,6;-
Skjetlein;SN67140;03.06.2021;18,4;26,3;8,6;0;-
Skjetlein;SN67140;04.06.2021;19,6;25,9;11,9;0;-
Skjetlein;SN67140;05.06.2021;16,7;23,7;12,7;0;-
Skjetlein;SN67140;06.06.2021;15;18,7;13;0,4;-
Skjetlein;SN67140;07.06.2021;15,6;19,7;11;2,8;-
Skjetlein;SN67140;08.06.2021;15;20,5;9,9;0;-
Skjetlein;SN67140;09.06.2021;17,3;24;11,5;0;-
Skjetlein;SN67140;10.06.2021;17,8;24,7;10,4;0;-
Skjetlein;SN67140;11.06.2021;16,6;24,4;13,2;0;-
Skjetlein;SN67140;12.06.2021;11,2;15,3;9,4;5,2;-
Skjetlein;SN67140;13.06.2021;10,1;12,4;8,1;5,4;-
Skjetlein;SN67140;14.06.2021;11,8;16,3;10;7,6;-
Skjetlein;SN67140;15.06.2021;9,4;11,8;8,5;1,6;-
Skjetlein;SN67140;16.06.2021;12,5;18,4;5,4;3;-
Skjetlein;SN67140;17.06.2021;14,9;19,6;12,5;0;-
Skjetlein;SN67140;18.06.2021;12,1;14,9;11,2;0,6;-
Skjetlein;SN67140;19.06.2021;11,9;14,9;9,5;1,2;-
Skjetlein;SN67140;20.06.2021;14,1;17;10,4;3,8;-
Skjetlein;SN67140;21.06.2021;13,6;16,3;12,5;7,2;-
Skjetlein;SN67140;22.06.2021;12,9;16,8;9,7;0,2;-
Skjetlein;SN67140;23.06.2021;12,9;18,7;5,9;0;-
Skjetlein;SN67140;24.06.2021;13,3;17,4;11;0,8;-
Skjetlein;SN67140;25.06.2021;12,2;14,5;10,2;1,8;-
Skjetlein;SN67140;26.06.2021;13,4;17,6;10,9;0,8;-
Skjetlein;SN67140;27.06.2021;13,4;18,4;9,1;0,2;-
Skjetlein;SN67140;28.06.2021;14,1;18,8;11,4;0;-
Skjetlein;SN67140;29.06.2021;11,6;14,4;10,7;4,2;-
Skjetlein;SN67140;30.06.2021;12,8;18,1;7,5;2,6;-
Skjetlein;SN67140;01.07.2021;17,6;25;8;0,2;-
Skjetlein;SN67140;02.07.2021;19,5;28,3;11,1;0;-
Skjetlein;SN67140;03.07.2021;20;29,3;12,2;0;-
Skjetlein;SN67140;04.07.2021;20,7;28,9;11,7;0;-
Skjetlein;SN67140;05.07.2021;22,1;27,1;16,6;0;-
Skjetlein;SN67140;06.07.2021;20,9;25,1;16,8;2,6;-
Skjetlein;SN67140;07.07.2021;19,2;25,4;15,4;7;-
Skjetlein;SN67140;08.07.2021;17,8;22,5;14,6;9;-
Skjetlein;SN67140;09.07.2021;19;25,1;12,7;0,4;-
