Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Skjetlein;SN67140;16.04.2017;1,9;7,5;-3,5;0;-
Skjetlein;SN67140;17.04.2017;2,9;7,5;-1,9;0;-
Skjetlein;SN67140;18.04.2017;2,3;8,8;-3,6;0;-
Skjetlein;SN67140;19.04.2017;3,5;7,5;-2,3;0;-
Skjetlein;SN67140;20.04.2017;4,8;8,6;3,1;2,2;-
Skjetlein;SN67140;21.04.2017;2,5;4,8;0,4;4,8;-
Skjetlein;SN67140;22.04.2017;1,9;5,1;0,1;5,2;-
Skjetlein;SN67140;23.04.2017;0,7;4,3;-0,8;0,6;-
Skjetlein;SN67140;24.04.2017;1,2;5,2;-4,5;0;-
Skjetlein;SN67140;25.04.2017;3,3;7,5;-0,9;0;-
Skjetlein;SN67140;26.04.2017;1,1;5,5;-1,5;0,2;-
Skjetlein;SN67140;27.04.2017;1,7;6,2;-1,5;0;-
Skjetlein;SN67140;28.04.2017;3,3;8,1;-3,4;0,8;-
Skjetlein;SN67140;29.04.2017;5,5;10,6;0,1;0,2;-
Skjetlein;SN67140;30.04.2017;4,2;9,9;-1,7;0;-
Skjetlein;SN67140;01.05.2017;6,8;12,8;-0,5;0;-
Skjetlein;SN67140;02.05.2017;7;13,4;-0,5;0;-
Skjetlein;SN67140;03.05.2017;5,7;11,2;-1;0;-
Skjetlein;SN67140;04.05.2017;6,8;13,7;-1;0;-
Skjetlein;SN67140;05.05.2017;10,8;17,5;4,8;0;-
Skjetlein;SN67140;06.05.2017;6,7;12,4;3,7;0;-
Skjetlein;SN67140;07.05.2017;4;7,1;1,6;0;-
Skjetlein;SN67140;08.05.2017;3,4;6,8;1,5;0;-
Skjetlein;SN67140;09.05.2017;2,5;6,7;0,3;0,2;-
Skjetlein;SN67140;10.05.2017;3,8;8,2;-2,6;1,4;-
Skjetlein;SN67140;11.05.2017;6,2;10,3;-0,3;0,2;-
Skjetlein;SN67140;12.05.2017;7,4;14,3;-1,1;0;-
Skjetlein;SN67140;13.05.2017;10;16,1;0,5;0;-
Skjetlein;SN67140;14.05.2017;11,3;17,5;2,8;0;-
Skjetlein;SN67140;15.05.2017;10,5;15,2;7,1;0;-
Skjetlein;SN67140;16.05.2017;11,7;17,3;4,5;0;-
Skjetlein;SN67140;17.05.2017;11,9;16,4;8,2;1,6;-
Skjetlein;SN67140;18.05.2017;11,5;15;7,6;0,8;-
Skjetlein;SN67140;19.05.2017;10,8;13,5;9,7;1,4;-
Skjetlein;SN67140;20.05.2017;12,6;20,6;4,4;0;-
Skjetlein;SN67140;21.05.2017;9,6;19,7;7,8;0;-
Skjetlein;SN67140;22.05.2017;7,4;8,3;6,6;10,2;-
Skjetlein;SN67140;23.05.2017;9,5;13,6;6,8;8,8;-
Skjetlein;SN67140;24.05.2017;8,6;13,2;3;0;-
Skjetlein;SN67140;25.05.2017;8,8;10,6;7,7;4,4;-
Skjetlein;SN67140;26.05.2017;9,9;11,4;7,7;6;-
Skjetlein;SN67140;27.05.2017;13,2;18,1;10,2;0,2;-
Skjetlein;SN67140;28.05.2017;12,4;18,1;10,3;0;-
Skjetlein;SN67140;29.05.2017;9,6;14,9;6,8;0;-
Skjetlein;SN67140;30.05.2017;7,9;13,3;2,4;0;-
