Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Snødybde;Nedbør (døgn)
E39 Øysand;SN67153;16.07.2017;15,3;-;-;-;-
E39 Øysand;SN67153;17.07.2017;13,3;-;-;-;-
E39 Øysand;SN67153;18.07.2017;13,4;-;-;-;-
E39 Øysand;SN67153;19.07.2017;14,5;-;-;-;-
E39 Øysand;SN67153;20.07.2017;17;-;-;-;-
E39 Øysand;SN67153;21.07.2017;20,2;-;-;-;-
E39 Øysand;SN67153;22.07.2017;19,6;-;-;-;-
E39 Øysand;SN67153;23.07.2017;19;-;-;-;-
E39 Øysand;SN67153;24.07.2017;20,3;-;-;-;-
E39 Øysand;SN67153;25.07.2017;18,1;-;-;-;-
E39 Øysand;SN67153;26.07.2017;19,4;-;-;-;-
E39 Øysand;SN67153;27.07.2017;21,6;-;-;-;-
E39 Øysand;SN67153;28.07.2017;19,9;-;-;-;-
E39 Øysand;SN67153;29.07.2017;18,5;-;-;-;-
E39 Øysand;SN67153;30.07.2017;18,1;-;-;-;-
E39 Øysand;SN67153;31.07.2017;17,7;-;-;-;-
E39 Øysand;SN67153;01.08.2017;16,3;-;-;-;-
E39 Øysand;SN67153;02.08.2017;15,6;-;-;-;-
E39 Øysand;SN67153;03.08.2017;18,9;-;-;-;-
E39 Øysand;SN67153;04.08.2017;16,8;-;-;-;-
E39 Øysand;SN67153;05.08.2017;17,7;-;-;-;-
E39 Øysand;SN67153;06.08.2017;17,9;-;-;-;-
E39 Øysand;SN67153;07.08.2017;15,9;-;-;-;-
E39 Øysand;SN67153;08.08.2017;16,4;-;-;-;-
E39 Øysand;SN67153;09.08.2017;16,3;-;-;-;-
E39 Øysand;SN67153;10.08.2017;16,5;-;-;-;-
E39 Øysand;SN67153;11.08.2017;15,8;-;-;-;-
E39 Øysand;SN67153;12.08.2017;14;-;-;-;-
E39 Øysand;SN67153;13.08.2017;12,9;-;-;-;-
E39 Øysand;SN67153;14.08.2017;14,2;-;-;-;-
E39 Øysand;SN67153;15.08.2017;15;-;-;-;-
E39 Øysand;SN67153;16.08.2017;15,2;-;-;-;-
E39 Øysand;SN67153;17.08.2017;16,8;-;-;-;-
E39 Øysand;SN67153;18.08.2017;18,1;-;-;-;-
E39 Øysand;SN67153;19.08.2017;15,5;-;-;-;-
